epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,2885.86,1.17694,0.93472,1.5421,0.90444,0.88961,0.89562,0.53893,1.3884,0.56968,2.12383,0.000384523,0.000384523,0.000384523
96,3100.42,1.18299,0.93724,1.54476,0.90421,0.88852,0.89555,0.53845,1.38643,0.56871,2.12158,0.000379073,0.000379073,0.000379073
97,3309.68,1.17903,0.93529,1.5417,0.9047,0.88962,0.89565,0.53932,1.38454,0.56798,2.12049,0.000373617,0.000373617,0.000373617
98,3520.62,1.1652,0.92641,1.52772,0.90497,0.88981,0.89655,0.5417,1.38341,0.56753,2.11976,0.000368155,0.000368155,0.000368155
99,3731.16,1.16558,0.91435,1.52599,0.90519,0.88962,0.89625,0.54215,1.38146,0.56635,2.11938,0.000362689,0.000362689,0.000362689
100,3945.89,1.16022,0.90909,1.52369,0.90441,0.88924,0.89665,0.54344,1.38018,0.56552,2.12014,0.00035722,0.00035722,0.00035722
101,4160.18,1.15458,0.89981,1.51582,0.90356,0.88743,0.89544,0.54375,1.37891,0.5648,2.12105,0.00035175,0.00035175,0.00035175
102,4375.97,1.14843,0.90175,1.51478,0.9024,0.88926,0.8952,0.54427,1.37729,0.564,2.12134,0.00034628,0.00034628,0.00034628
103,4591.59,1.14756,0.8974,1.51779,0.90173,0.88752,0.89453,0.54598,1.37496,0.56458,2.1202,0.000340811,0.000340811,0.000340811
104,4807.76,1.13899,0.90087,1.51361,0.90279,0.88814,0.89535,0.54656,1.37285,0.56455,2.11793,0.000335345,0.000335345,0.000335345
105,5022.14,1.13642,0.88382,1.50712,0.90164,0.88666,0.89372,0.54695,1.37156,0.56444,2.11819,0.000329883,0.000329883,0.000329883
106,5237.28,1.13533,0.88182,1.5012,0.90169,0.88717,0.89401,0.54777,1.36997,0.56351,2.11793,0.000324427,0.000324427,0.000324427
